original_index,discussion_link,comment,removed,merged,method_signature,filename,link commit after,comment_ok,comment_found,change_ok,how to exclude,notes,commented_line,commented_file
18,,"@stephenc yes it should.  (and hence why ""l"" as a variable name should be banned!)
",too long instance,True,getSummaryGraph,src/main/java/hudson/plugins/view/dashboard/test/TestTrendChart.java,https://github.com/jenkinsci/dashboard-view-plugin/commit/cfce3f1abcf13e5e3173631146d30b5d413458ae,no,,,contributor's answer,,152,src/main/java/hudson/plugins/view/dashboard/test/TestTrendChart.java
16,,"the old line 71 would never be called as `score` will always be either `<80` or `>= 80` so the `return` statement will always have been called.
",before = after,True,getIconUrl,src/main/java/hudson/plugins/view/dashboard/stats/StatJobs.java,https://github.com/jenkinsci/dashboard-view-plugin/commit/cfce3f1abcf13e5e3173631146d30b5d413458ae,no,,,contribuor explaining why change was made,,71,src/main/java/hudson/plugins/view/dashboard/stats/StatJobs.java
19,https://github.com/BuildCraft/BuildCraft/pull/3995,"activeState can change at *any* time. Depending on it here doesn't make much sense.

Honestly neither does allowing phasing between hollow and non-hollow facades. As they aren't fully implemented yet this hasn't really come up, but I guess this needs fixing elsewhere as well.",-,True,PluggableFacade,-,https://github.com/BuildCraft/BuildCraft/commit/58d387cc8a2d0bffc5105cb6711506f05b881768,yes,,yes,,,57,common/buildcraft/transport/plug/PluggableFacade.java
22,,Should a condition be made for it in `FacadeInstance::areAllStatesSolid` instead?,contributor's comment,True,PluggableFacade,common/buildcraft/transport/plug/PluggableFacade.java,https://github.com/BuildCraft/BuildCraft/commit/58d387cc8a2d0bffc5105cb6711506f05b881768,no,,,"contributor's answer, question to reviewer",,57,common/buildcraft/transport/plug/PluggableFacade.java
24,,"No, I'll fix this bit manually, as it involves changing the API.",-,True,PluggableFacade,common/buildcraft/transport/plug/PluggableFacade.java,https://github.com/BuildCraft/BuildCraft/commit/58d387cc8a2d0bffc5105cb6711506f05b881768,no,,,,related to discussion starting at line 21,57,common/buildcraft/transport/plug/PluggableFacade.java
25,,"travis is failing on this override, you probably added this method in IFacade but that is part of the api (in another repo), could you make a PR there as well for this?",before = after,True,getBlockFaceShape,common/buildcraft/transport/plug/PluggableFacade.java,https://github.com/BuildCraft/BuildCraft/commit/58d387cc8a2d0bffc5105cb6711506f05b881768,yes,,?,request involving another repo/PR,,117,common/buildcraft/transport/plug/PluggableFacade.java
26,,Done.,"before = after, Irrelevant comment, contributor's comment",True,getBlockFaceShape,common/buildcraft/transport/plug/PluggableFacade.java,https://github.com/BuildCraft/BuildCraft/commit/58d387cc8a2d0bffc5105cb6711506f05b881768,no,,,contributor's answer,,117,common/buildcraft/transport/plug/PluggableFacade.java
20,,What sort of states does this make a difference for?,-,True,FacadeBlockStateInfo,common/buildcraft/transport/plug/FacadeBlockStateInfo.java,https://github.com/BuildCraft/BuildCraft/commit/58d387cc8a2d0bffc5105cb6711506f05b881768,yes,,yes,,,40,common/buildcraft/transport/plug/FacadeBlockStateInfo.java
21,,"Glass, stained glass and other kinds of modded glass. Every other kind of facade seems to be working fine.",contributor's comment,True,FacadeBlockStateInfo,common/buildcraft/transport/plug/FacadeBlockStateInfo.java,https://github.com/BuildCraft/BuildCraft/commit/58d387cc8a2d0bffc5105cb6711506f05b881768,no,,,contributor's answer,,40,common/buildcraft/transport/plug/FacadeBlockStateInfo.java
23,,"But none of those have solid sides. (Solid -- can place levers, rails, etc on the top or sides).
It might make more sense to add a ````BlockFaceShape```` property.",-,True,FacadeBlockStateInfo,-,https://github.com/BuildCraft/BuildCraft/commit/58d387cc8a2d0bffc5105cb6711506f05b881768,yes,,yes,,,40,common/buildcraft/transport/plug/FacadeBlockStateInfo.java
27,https://github.com/alphagov/pay-connector/pull/2091,"1. This should get refundEntity based on `refundExternalId` and then a charge to be retrieved to emit ALL events (payment and refunds).
EmittedEventEntity stores refundExternalId for refund events

2. In the first instance (in this PR) we can assume charge is not expunged yet so we can get from DB. We need to look separately for how we emit refund events / refund availability for expunged charges. (cc @sfount )


",-,True,backfillEvent,-,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,yes,,,90,src/main/java/uk/gov/pay/connector/events/EmittedEventsBackfillService.java
28,,same as above for charge_id,before = after,True,addRefundHistory,src/test/java/uk/gov/pay/connector/util/DatabaseTestHelper.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,no,before = after,mentions comment at line 29,185,src/test/java/uk/gov/pay/connector/util/DatabaseTestHelper.java
29,,`charge_id` can be removed here too (same as refunds https://github.com/alphagov/pay-connector/pull/2091/files#diff-59b289c8182a4fde50257daf15bbaddcR282) - fine as separate PR,before = after,True,addRefundHistory,src/test/java/uk/gov/pay/connector/util/DatabaseTestHelper.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,no,mentions separate PR,,164,src/test/java/uk/gov/pay/connector/util/DatabaseTestHelper.java
30,,Do we need to change `sendPaymentConfirmedEmail` signature as it is only used for inflight payments ?,before = after,True,markChargeAsEligibleForCapture,src/main/java/uk/gov/pay/connector/paymentprocessor/service/CardCaptureService.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,no,before = after,,85,src/main/java/uk/gov/pay/connector/paymentprocessor/service/CardCaptureService.java
31,,Can we remove join to `Charges` here too ? and not have gateway_account_id in query. If so can be a separate PR,-,True,searchAllHistoryByChargeExternalId,src/main/java/uk/gov/pay/connector/refund/dao/RefundDao.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,yes,,,81,src/main/java/uk/gov/pay/connector/refund/dao/RefundDao.java
34,,"We currently only have an index on the charge id in the refund history table, I wonder how important this query is but if we are going to support searching by external ID we'll need to add one for that field too

```
Indexes:
    ""idx_refunds_history_charge_id"" btree (charge_id)
```",before = after,True,searchHistoryByChargeExternalId,-,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,yes,,method name changed,67,src/main/java/uk/gov/pay/connector/refund/dao/RefundDao.java
35,,Potentially not part of this commit/ PR but we won't be able to rely on this join for the refund history table going forward,-,True,searchAllHistoryByChargeExternalId,src/main/java/uk/gov/pay/connector/refund/dao/RefundDao.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,yes,,,79,src/main/java/uk/gov/pay/connector/refund/dao/RefundDao.java
45,,"My bad, this should've been removed",contributor's comment,True,searchAllHistoryByChargeExternalId,src/main/java/uk/gov/pay/connector/refund/dao/RefundDao.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,no,,,contributor's answer,comment not found,79,src/main/java/uk/gov/pay/connector/refund/dao/RefundDao.java
32,,Do we need `chargeId` any more ? We might drop this column too since we have chargeExternalId,"before = after, method befor not found",True,-,src/main/java/uk/gov/pay/connector/refund/model/domain/RefundEntity.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,no,contributor's answer shows why change is not needed (see line 46),,91,src/main/java/uk/gov/pay/connector/refund/model/domain/RefundEntity.java
44,,We do until the foreign key constraint is removed,"before = after, method befor not found, contributor's comment",True,-,src/main/java/uk/gov/pay/connector/refund/model/domain/RefundEntity.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,no,,,answer to comment at line 34,,91,src/main/java/uk/gov/pay/connector/refund/model/domain/RefundEntity.java
38,,This will likely change how refunds and refund history is populated -- we should probably make sure we cleanup the SQL to reflect that this will no longer be serialised/ deserialised,"before = after, method befor not found",True,-,src/main/java/uk/gov/pay/connector/refund/model/domain/RefundEntity.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,yes,,part of annotation,50,src/main/java/uk/gov/pay/connector/refund/model/domain/RefundEntity.java
33,,Could we still use chargeService to find ChargeEntity ? This https://github.com/alphagov/pay-connector/pull/2085 ensures an object returned either from connector or ledger,-,True,doRefund,src/main/java/uk/gov/pay/connector/refund/service/ChargeRefundService.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,yes,,,65,src/main/java/uk/gov/pay/connector/refund/service/ChargeRefundService.java
36,,"Might not need this `        refundEntity.setChargeId(charge.getId());
`","method after not found, method after empty",True,createRefundEntity,-,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,no,before = after,,166,src/main/java/uk/gov/pay/connector/refund/service/ChargeRefundService.java
42,,Using a charge entity here directly unpicks the PR to make this agnostic (merged in https://github.com/alphagov/pay-connector/pull/2082) -- it would be good to make this use the `Charge` where possible and potentially rethink the interface here. Will see if I can make a suggestion for how it might look,"method after not found, Irrelevant comment, method after empty",True,createRefund,src/main/java/uk/gov/pay/connector/refund/service/ChargeRefundService.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,yes,,,77,src/main/java/uk/gov/pay/connector/refund/service/ChargeRefundService.java
43,,"As above, retied everything back to the `ChargeEntity`","method after not found, method after empty",True,createRefundEntity,src/main/java/uk/gov/pay/connector/refund/service/ChargeRefundService.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,yes,,,163,src/main/java/uk/gov/pay/connector/refund/service/ChargeRefundService.java
37,,"Do we need to update this method ? As this is only used for inflight payments, we should always have gatewayAccount on chargeEntity.",-,True,sendPaymentConfirmedEmail,src/main/java/uk/gov/pay/connector/usernotification/service/UserNotificationService.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,no,,,72,src/main/java/uk/gov/pay/connector/usernotification/service/UserNotificationService.java
46,,We could just pass in the email and the external_id?,contributor's comment,True,sendPaymentConfirmedEmail,src/main/java/uk/gov/pay/connector/usernotification/service/UserNotificationService.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,no,,,contributor's question to reviewer,,72,src/main/java/uk/gov/pay/connector/usernotification/service/UserNotificationService.java
39,,👍 assuming refund histories should never need to create public API reference links. This is a good cleanup of these processes,before = after,True,RefundHistory,src/main/java/uk/gov/pay/connector/refund/model/domain/RefundHistory.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,no,,,,,30,src/main/java/uk/gov/pay/connector/refund/model/domain/RefundHistory.java
40,,"Not part of this PR but reminder to myself, these methods will have to updated to use the `Charge` model introduced in previous PRs which also exposes the `getExternalId` but won't rely on the database",before = after,True,getRefundResponse,src/main/java/uk/gov/pay/connector/refund/resource/ChargeRefundsResource.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,no,comment mentions separate PR,,94,src/main/java/uk/gov/pay/connector/refund/resource/ChargeRefundsResource.java
41,,In particular this account ID will have to be provided from the top https://github.com/alphagov/pay-connector/blob/master/src/main/java/uk/gov/pay/connector/refund/model/RefundResponse.java#L19,before = after,True,getRefundResponse,src/main/java/uk/gov/pay/connector/refund/resource/ChargeRefundsResource.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,no,comment mentions separate PR,related to comment at line 42,94,src/main/java/uk/gov/pay/connector/refund/resource/ChargeRefundsResource.java
47,,Could use `ChargeService` but could be done in PP-6089,before = after,True,emitAndPersistEventForRefundHistoryEntry,src/main/java/uk/gov/pay/connector/tasks/HistoricalEventEmitter.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,no,mentions separate PR,,131,src/main/java/uk/gov/pay/connector/tasks/HistoricalEventEmitter.java
48,,Commented code can be removed,"before = after, comment to comment, method befor not found, Irrelevant comment",True,-,src/test/java/uk/gov/pay/connector/gateway/stripe/request/StripeTransferInRequestTest.java,https://github.com/alphagov/pay-connector/commit/5ac4d251a1b7009cfc4f90260565951e8e4556f3,yes,,yes,,class field,39,src/test/java/uk/gov/pay/connector/gateway/stripe/request/StripeTransferInRequestTest.java
49,https://github.com/mesosphere/mesos-rxjava/pull/81,Please move the setting of the default value of this field into the constructor instead of here directly on the field.,"before = after, method befor not found",True,-,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,,class field,47,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
58,,Same variable name as in MesosClient,"before = after, method befor not found",True,-,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,,"class field, 
refers to comment at line 59",47,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
50,,Great javadocs here explaining the new methods.,Irrelevant comment,True,onBackpressureBuffer,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,no,,,,,181,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
51,,Style: remove the blank line and pull the close paren and curly brace up to line 180.,-,True,onBackpressureBuffer,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,no,"only line was deleted, parentheses not moved",,184,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
55,,"I'm not crazy about adding this method to the builder, it seems like it could potentially expose the client to lots of weird things people would try and do. If you're using this yourself can to explain why you think it's needed?","method after not found, method after empty",True,transformByteStream,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,comment suggested to delete method,,263,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
73,,"Yes, I was conflicted about adding this. I didn't know if you could think of any other ""reactive hooks"" that people might find useful to insert in the stream.
If nothing comes to mind, I agree it makes sense to remove this, and I'll go ahead and do so.","method after not found, method after empty, contributor's comment",True,transformByteStream,-,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,no,,,contributor's answer,related to comment at line 57,263,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
77,,"There isn't anything I can think of right now, and would prefer to keep the api surface area as small as possible, so let's go ahead and remove this method.","method after not found, method after empty",True,transformByteStream,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,,related to comment at line 57,263,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
59,,Style: bump closing paren to next line with no indent.,-,True,build,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,,,284,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
60,,`@NotNull` annotation is not necessary here since it's a `long` which can't be null. If it were `Long` this would be correct.,"method after not found, method after empty",True,onBackpressureBuffer,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,,,203,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
61,,`@NotNull` annotation is not necessary here since it's a `long` which can't be null. If it were `Long` this would be correct.,"method after not found, method after empty",True,onBackpressureBuffer,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,,,203,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
62,,When I looked into [`onBackpressureBuffer`](https://github.com/ReactiveX/RxJava/blob/v1.1.8/src/main/java/rx/internal/operators/OperatorOnBackpressureBuffer.java#L84) an exception will be thrown if this is null. Please remove the `Null is allowed` statement.,"before = after, comment to comment, method befor not found",True,-,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,no,contributor's comment (see line 77) shows why the change is not needed,,233,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
75,,"So I think they allow the `onOverflow` action to be null according to the [javadoc on that method](https://github.com/ReactiveX/RxJava/blob/v1.1.8/src/main/java/rx/internal/operators/OperatorOnBackpressureBuffer.java#L76)
It is the strategy that cannot be null (as you noted below I don't need to state)
","before = after, method befor not found, comment to comment, contributor's comment, Irrelevant comment",True,-,-,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,no,,,contributor's answer,related to comment at line 64,233,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
79,,"Ah, you're correct I mixed up the `overflowStrategy` check. That sounds good that we leave that in place then. 

On the method parameter itself lets change the annotation from `@org.jetbrains.annotations.NotNull` to `@org.jetbrains.annotations.Nullable` so that the annotation analyzer in intellij wires things through correctly.","before = after, comment to comment, method befor not found",True,-,-,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,,related to comment at line 64,233,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
63,,"`Null is not allowed.` can be removed since the javadoc will maintain the parameter annotations when generated.

An example of this can be seen here for the [`mesosUri` method](https://mesosphere.github.io/mesos-rxjava/javadocs/0.1.2/com/mesosphere/mesos/rx/java/MesosClientBuilder.html#mesosUri-java.net.URI-)","before = after, comment to comment, method befor not found, Irrelevant comment",True,-,-,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,only javadoc changed,,232,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
64,,"Here, when referring to the enum values instead of using `{@code ...}` we can use `{@link ...}` and the javadoc will actually link the properties and javadocs together for use. (There is one syntactic thing that has to change however, when referring to the enum value we use `#` instead of `.`)

So instead of `{@code BackpressureOverflow.Strategy.ON_OVERFLOW_ERROR}` try `{@link BackpressureOverflow.Strategy#ON_OVERFLOW_ERROR}`","before = after, comment to comment, method befor not found, Irrelevant comment",True,-,-,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,only javadoc changed,,217,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
65,,`@link` instead of `@code`,"before = after, comment to comment, method befor not found",True,-,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,only javadoc changed,,219,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
66,,`@link` instead of `@code`,"before = after, comment to comment, method befor not found",True,-,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,yes,,yes,only javadoc changed,,219,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
74,,Any preferences on `long` vs. `Long` ? ,"method after not found, method after empty, contributor's comment",True,onBackpressureBuffer,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java,https://github.com/mesosphere/mesos-rxjava/commit/7e81feab50c2f26a00496448c8ac348c85bf488c,no,,,contributor's question to reviewer,related to comment at line 63,238,mesos-rxjava-client/src/main/java/com/mesosphere/mesos/rx/java/MesosClientBuilder.java
